ACCE_ABSORB_CHANCE	Rata absorbtiei: %d%%
EXCHANGE_TITLE	Negociaza cu %s
EXCHANGE_TITLE_LEVEL	Negociaza cu %s (%d)
EXTENDED_BATTLE_PASS_ITS_NOT_BATTLEPASS_ITEM	Ai nevoie de un ticket pentru Battle-Pass premium.
EXTENDED_BATTLE_PASS_RANKLIST_REFRESH	Clasamentul a fost actualizat.
EXTENDED_BATTLE_PASS_RANKLIST_WAIT_TO_REFRESH	Trebuie sa astepti %d secunde pentru a actualiza clasamentul.
FISHGAME_TITLE	Peste
FISHING_FAILURE	Ai pierdut momeala pentru pescuit.
FISHING_NOTIFY1	Se pare ca %s a muscat.
FISHING_NOTIFY2	Se pare ca s-a prins %s.
FISHING_RENEWAL_CANNOT_EMOTION	Nu poti folosi emotiile in timp ce pescuiesti.
FISHING_RENEWAL_CANNOT_OPEN_1	Nu poti deschide in timp ce pescuiesti.
FISHING_RENEWAL_CANNOT_OPEN_2	Nu poti efectua aceasta actiune in timpul pescuitului.
FISHING_RENEWAL_QUESTION	Ai o muscatura. Doresti sa prinzi?
FISHING_RENEWAL_TIMEOUT	Ai asteptat prea mult. Pestele a fugit.
FISHING_SUCCESS1	Ai prins %s.
FISHING_SUCCESS2	Ai scos %s din apa!
FISHING_UNKNOWN	Ceva a muscat dar nu stiu ce anume.
FISHING_WRONG_PLACE	Nu pot sa pescuiesc aici.
FLOWER_EVENT_ENVELOPE_MAX	Nu poti primi mai multe Seminte de Flori.
FLOWER_EVENT_GET_SHOOT_CHRYSANTHEMUM	Ai primit Lastari de Crizantema.
FLOWER_EVENT_GET_SHOOT_CHRYSANTHEMUM_COUNT	Ai primit %d Lastari de Crizantema.
FLOWER_EVENT_GET_SHOOT_DAFFODIL	Ai primit Lastari de Narcisa.
FLOWER_EVENT_GET_SHOOT_DAFFODIL_COUNT	Ai primit %d Lastari de Narcisa.
FLOWER_EVENT_GET_SHOOT_ENVELOPE	Ai primit Seminte de Flori.
FLOWER_EVENT_GET_SHOOT_LILY	Ai primit Lastari de Crin.
FLOWER_EVENT_GET_SHOOT_LILY_COUNT	Ai primit %d Lastari de Crin.
FLOWER_EVENT_GET_SHOOT_MAY_BELL	Ai primit Lastari de Floare Clopotel.
FLOWER_EVENT_GET_SHOOT_MAY_BELL_COUNT	Ai primit %d Lastari de Floare Clopotel.
FLOWER_EVENT_GET_SHOOT_SUNFLOWER	Ai primit Lastari de Floarea Soarelui.
FLOWER_EVENT_GET_SHOOT_SUNFLOWER_COUNT	Ai primit %d Lastari de Floarea Soarelui.
FLOWER_EVENT_ITEM_FULL_AND_NOT_USE	Nu poti schimba asta deoarece ai deja numarul maxim de lastari.
FLOWER_EVENT_NOT_ENOUGH_EVENTORY_SPACE	Nu ai destul spatiu in inventar.
FLOWER_EVENT_NOT_ENOUGH_SHOOT_COUNT	Nu ai numarul corect de lastari.
FLOWER_EVENT_NOT_ENOUGH_SHOOT_ENVELOPE	Nu ai suficiente seminte de flori.
FLOWER_EVENT_USE_ITEM_TEXT1	Doresti sa inlocuiesti efectul activ?
FLOWER_EVENT_USE_ITEM_TEXT2	Incercarea poate esua cauzand ofilirea florii.
FOOTBALL_EVENT_MESSAGE_BUTTON_COOLTIME	Te rugam, incearca mai tarziu.
FOOTBALL_EVENT_MESSAGE_CANNOT_GET_FOOTBALL	Nu mai poti primi Mingi de Fotbal.
FOOTBALL_EVENT_MESSAGE_GET_FOOTBALL	Ai primit 1 Minge de Fotbal.
FOOTBALL_EVENT_MESSAGE_NOT_ENOUGH_FOOTBALL	Mingi de Fotbal insuficiente.
FOOTBALL_EVENT_MESSAGE_NOT_ENOUGH_INVENTORY	Nu este destul loc in inventar.
FORCE_EVENT_CANNOT_OPEN_UI	Evenimentul Ecoul Puterii s-a incheiat.
FORCE_EVENT_CAN_USE_BUTTON	Ecoul tau este suficient de puternic pentru a fi activat.
FORCE_EVENT_EMPTY_NORMAL_FORCE_SLOT_TOOLTIP	Poti selecta Ecoul Puterii tragandu-l din inventar.
FORCE_EVENT_EMPTY_SKILL_FORCE_SLOT_TOOLTIP	Poti selecta Ecoul Talentului tragandu-l din inventar.
FORCE_EVENT_END_NOTICE	Evenimentul Ecoul Puterii s-a incheiat.
FORCE_EVENT_FORCE_CHANGE_BUFF	Ai ales deja un Ecou. Doresti sa il schimbi?
FORCE_EVENT_FORCE_GAGUE_REMAIN_TIME	%d/%d minute
FORCE_EVENT_FORCE_GAUGE_REFINE_TOOLTIP	Ecoul tau a devenit mai puternic.
FORCE_EVENT_FORCE_NOTICE_CAN_USE_FORCE_BUFF	%s poate fi activat. Verifica fereastra Ecou.
FORCE_EVENT_FORCE_REGISTER_TOOLTIP_1	Doresti sa selectezi %s?
FORCE_EVENT_FORCE_REGISTER_TOOLTIP_2	Daca modifici Ecoul selectat, timpul de redare va fi resetat.
FORCE_EVENT_FORCE_SLOT_REMAIN_TIME	Timp ramas:
FORCE_EVENT_INVALIED_SLOT_ITEM	Trebuie sa activezi acest Ecou in celalalt slot.
FORCE_EVENT_NOTICE_REMAIN_PLAY_TIME	%s ales de tine a ajuns la %d/%d.
FORCE_EVENT_NOT_ENOUGH_FORCE_CANNOT_USE_BUTTON	Ecoul tau nu este suficient de puternic pentru a-l folosi deocamdata.
FORCE_EVENT_NOT_ENOUGH_LEVEL	Trebuie sa fi atins nivelul 70 pentru a participa.
FORCE_EVENT_READY_TO_USE_FORCE_BUFF	%s poate fi activat. Verifica fereastra Ecou.
FORCE_EVENT_REMOVE_REGIST_FORCE	Elimini Ecoul ales? Acest lucru va reseta timpul de joc si va distruge Ecoul.
FORCE_EVENT_START_NOTICE	Evenimentul Ecoul Puterii a inceput
FOR_FEMALE	Pentru femei
FOR_MALE	Pentru barbati
FRAGMENT_COMB_COST	Costuri combunatie: %s
FREEZING_BUTTON_COOLTIME	Te rugam, incearca mai tarziu.
GAME_CANNOT_MINING	Nu poti sa sapi dupa minereu in timp ce calaresti.
GAME_CANNOT_PICK_ITEM	Nu poti culege acest obiect, pentru ca nu a fost capturat de tine.
GAME_GUILDWAR_NOW_JOIN	Vrei sa te alaturi razboiului breslei?
GAME_INIT_ERROR_CURSOR	Cursorul nu a putut fi creat.
GAME_INIT_ERROR_DIRECTX	Ai nevoie de DirectX 8.1 pentru a rula jocul.\nInstaleaza DirectX 8.1 sau peste.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	Nu s-a gasit placa grafica pentru rularea jocului.\nVerifica daca placa VGA e instalata corect.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Placa grafica nu a putut fi initializata.nVerifica daca detii o placa VGA.\nAlternativ poti sa activezi accelerarea hardware.\n(Accelerare hardware la maxim \nControl Panel->Display->Settings->Advanced->Troubleshooting)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	Placa grafica nu suporta 32bit.\nSchimba pe 16bit sau foloseste full screen.
GAME_INIT_ERROR_ITEM_PROTO	Datele obiectului inaccesibile.\nReinstaleaza jocul.
GAME_INIT_ERROR_MAIN_WINDOW	Fereastra principala nu a putut fi realizata.
GAME_INIT_ERROR_MOB_PROTO	Datele monstrului inaccesibile.\nReinstaleaza jocul.
GAME_INIT_ERROR_NETWORK	Legatura la retea nu s-a realizat.\nVerifica legatura la internet.
GAME_OPTION_GAME	Joc
GAME_OPTION_KEYCHANGE_SAVE_OPTION	Selecteaza pentru a salva combinatiile alese numai pentru acest caracter.
GAME_OPTION_KEYSETTING	Chei
GAME_OPTION_KEYSETTING_CHECK_KEY	Una dintre functii nu are scurtatura pe tastatura.
GAME_OPTION_KEYSETTING_KEY_CHANGE_CHECK	Aceasta tasta este deja folosita pentru %s. Doresti sa o schimbi?
GAME_OPTION_KEYSETTING_KEY_INIT_NOTICE	%s a fost resetata. Te rugam, selecteaza din nou.
GAME_OPTION_LOOTING	Prada
GAME_OPTION_SYSTEM	Sistem
GAME_OPTION_SYSTEM_DROP_YANG_CHECK_TOOLTIP	Yang-ul este afisat cand aceasta optiune este selectata sau ascuns cand este deselectata.
GAME_OPTION_SYSTEM_STRUCTURE_TOOLTIP	Ascunde Decoratiuni
GAME_PICK_MONEY	Ai primit %s Yang.
GAME_USE_MONEY	%s Yang a fost dedus.
GEM_CONVERTER_MESSAGE_CONVERT_SUCCESS_CONVERTER	Ai folosit %d Transformari Gaya.
GEM_CONVERTER_MESSAGE_CONVERT_SUCCESS_GEM_STONE	Ai convertit %d Pietre Lucioase.
GEM_CONVERTER_MESSAGE_GEM_MAX	Ai deja cantitatea maxima de Gaya.
GEM_CONVERTER_MESSAGE_NOT_ENOUGH_GEMSTONE	Ai nevoie de cel putin %s Pietre Lucioase.
GEM_CONVERTER_MESSAGE_NOT_ENOUGH_GOLD	Nu ai suficient Yang.
GEM_CONVERTER_MESSAGE_USE_CONVERTER_QUESTION	Doresti sa utilizezi Transformare Gaya?
GEM_SYSTEM_ADD_SLOT	Cerinte obiect: %s.\nDoresti sa folosesti %d dintre acestea pentru a debloca un loc aditional?
GEM_SYSTEM_BUY_ITEM	Doresti sa cumperi acest obiect?
GEM_SYSTEM_NAME	Gaya
GEM_SYSTEM_NOT_ENOUGHT_REFRESHITEM	[Gaya] Nu ai suficiente obiecte Actualizeaza Piata Gaya.
GEM_SYSTEM_NOT_ENOUGH_HP_GEM	[Gaya] Nu ai suficiente Gaya.
GEM_SYSTEM_NO_MORE_ADDSLOT	[Gaya] Nu mai ai locuri de deblocat.
GEM_SYSTEM_OPEN_GEMSHOP	[Gaya] Deschide Piata Gaya mai intai.
GEM_SYSTEM_PICK_GEM	Ai primit %s Gaya.
GEM_SYSTEM_REFRESH_SHOP_ITEMS	Vrei sa actualizezi magazinul?
GEM_USE_GEM	%s Gaya a fost dedus.
GIVEUP_QUESTION	Chiar vrei sa renunti?
GOLDEN_LAND_CHAT_MESSAGE_CANNOT_USE_FRUIT_BOX_EVENT_CLOSED	Evenimentul a luat sfarsit. Nu poti folosi acest obiect.
GOLDEN_LAND_CHAT_MESSAGE_CANNOT_USE_MINE_TOWER_SKILL_PROCESSING	Nu mai poti folosi asta dupa activarea Turnului Canonada.
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_CLEAR	Ai gasit toate careurile cu Fructe Aurii! Vei primi recompensa prin posta.
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_GOLDEN_FRUIT_FOUND	Ai gasit un careu cu Fructe Aurii!
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_GOLDEN_FRUIT_NOT_FOUND	Se pare ca nu era un careu cu Fructe Aurii.
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_NOT_ENOUGH_YELLOW_FRUIT	Nu ai suficiente Fructe Aurii.
GOLDEN_LAND_CHAT_MESSAGE_MINE_TOWER_GUARD_CREATED	Acum ai aparare Anti-Bombe si esti protejat de urmatorul Turn Canonada.
GOLDEN_LAND_CHAT_MESSAGE_MINE_TOWER_SKILL_GUARDED	Ajutorul Anti-Bombe te-a protejat si a fost consumat. Turnul Canonada iti poate produce din nou daune.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_BATTLE_STAGE_START	Vei fi teleportat la urmatorul nivel.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_DUNGEON_REMAIN_TIME_MIN	Mai poti ramane pe Taramul Aurului timp de %d minute.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_EVENT_END	Expeditia Primordis s-a terminat.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_EVENT_START	Expeditia Primordis a inceput! Invinge Gardianul Primordis pentru a merge pe Taramul Aurului!
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_OASIS_SHOP	Poti achizitiona obiecte de la Caravana de Comert.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_OASIS_STAGE_START	Vei fi teleportat pe oaza.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_STONE_SPAWN_AFTER_10SEC	Statuile Primordis vor aparea in 10 secunde.
GOLDEN_LAND_CHAT_MESSAGE_NOT_ENOUGH_LEVEL	Nu poti folosi acest obiect deoarece nivelul tau este prea scazut.
GOLDEN_LAND_CHAT_MESSAGE_RESET_ALREADY_RESET	Deja ai resetat.
GOLDEN_LAND_CHAT_MESSAGE_RESET_NOT_ENOUGH_ITEM	Nu ai un Reset Primordis.
GOLDEN_LAND_CHAT_MESSAGE_RESET_SUCCESS	Intrarile tale si tabla de joc au fost resetate.
GOLDEN_LAND_CHAT_MESSAGE_SHOP_NOT_ENOUGH_INVENTORY_SPACE	Nu este destul loc in inventar.
GOLDEN_LAND_CHAT_MESSAGE_SHOP_NOT_ENOUGH_TREE_FRUIT	Nu ai suficiente Fructe Amare.
GOLDEN_LAND_CHAT_MESSAGE_SHOP_YELLOW_FRUIT_EXCEED	Nu mai poti achizitiona Fructe Aurii deoarece ai ajuns la maximum.
GOLDEN_LAND_CHAT_MESSAGE_TREE_FRUIT_GAINED	Primesti %d Fructe Amare.
GOLDEN_LAND_CHAT_MESSAGE_TREE_FRUIT_GAINED_WITH_POSSESS_INFO	Primesti %d Fructe Amare. (Ai %d.)
GOLDEN_LAND_CHAT_MESSAGE_YELLOW_FRUIT_GAINED	Ai primit %d Fructe Aurii.
GOLDEN_LAND_FIND_CARD_QUESTION_OPEN_CARD	Vrei sa descoperi un careu pentru %d Fructe Aurii?
GOLDEN_LAND_FIND_CARD_QUESTION_RESET	Cand utilizezi acest obiect, intrarile tale pe Taramul Aurului si tabla de joc Vanatoare Fructe Aurii vor fi resetate. Doresti sa continui?
GOLDEN_LAND_REMAIN_MINE_TOWER_KILL_COUNT	Turnuri Canonada ramase: %d
GOLDEN_LAND_REMAIN_STONE_KILL_COUNT	Statui Primordis ramase: %d
GUILDBANK_CLEARBANK	Atentie: Depozitul Breslei trebuie golit!
GUILDBANK_DONT_MONEY_OUT	Nu ai Yang in banca breslei!
GUILDBANK_GOLD_IN	Depunere
GUILDBANK_GOLD_OUT	Retragere
GUILDBANK_ITEM_IN	Inmagazineaza
GUILDBANK_ITEM_OUT	Inlatura
GUILDBANK_MONEYIN	Depunere Yang
GUILDBANK_MONEYOUT	Retragere Yang
GUILDBANK_NOTUSE	Nu ai permisiunile necesare.
GUILDBANK_NOT_ENOUGH_MONEY	Nu ai Yang suficient pentru depunere.
GUILDBANK_OVER_INCOME	Limita atinsa pe cont.
GUILDBANK_OVER_MONEY	Contul breslei este plin.
GUILDLAND_ABANDON	Abandoneaza Teritoriu Breasla
GUILDLAND_ABANDON_TEXT1	Vrei sa abandonezi teritoriul breslei?
GUILDLAND_ABANDON_TEXT2	Sigur vrei sa abandonezi teritoriul breslei?
GUILDLAND_ABANDON_TEXT3	Depozitul breslei si toate cladirile vor fi eliminate.
GUILDLAND_ACCEPT	Da
GUILDLAND_DONTHAVE_LAND	Nu ai niciun teritoriu de breasla.
GUILDLAND_NOT	Nu
GUILDLIST_APPLICANT	Doresti sa continui?
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	Inaltimea nu are 12 pixel.
GUILDMARK_UPLOADER_ERROR_16_WIDTH	Inaltimea nu are 16 pixel.
GUILDMARK_UPLOADER_ERROR_64_WIDTH	Inaltimea nu are 64 pixel.
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	Inaltimea nu are 128 pixel.
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	Jocul nu suporta aceasta imagine.
GUILDMARK_UPLOADER_ERROR_PATH	Copiaza fisierele in directorul metin2/upload.
GUILDMARK_UPLOADER_ERROR_SELECT	Nicio imagine selectata.
GUILDWAR_ALL	Batalii (B)
GUILDWAR_CTF_TITLE	Captureaza Steag
GUILDWAR_DRAW	Remize (R)
GUILDWAR_GAINSCORE_FIFTY	50 puncte
GUILDWAR_GAINSCORE_HUNDRED	100 puncte
GUILDWAR_GAINSCORE_THIRTY	30 puncte
GUILDWAR_GAMETIME_SIXTY	60 minute
GUILDWAR_GAMETIME_TEN	10 minute
GUILDWAR_GAMETIME_THIRTY	30 minute
GUILDWAR_INPUT_OTHERGUILD	Te rugam introdu breasla oponenta.
GUILDWAR_LADDER	Puncte Rang
GUILDWAR_LIMIT_MEMBER_FIVE	Minim 5 participanti.
GUILDWAR_LOSE	Pierderi (P)
GUILDWAR_NORMAL_TITLE	Lupta de Camp
GUILDWAR_OVER_MEMBERCOUNT	Numarul limita de membri a fost atins.
GUILDWAR_QUESTION_LINE_1	Breasla %s a declarat breslei tale razboi,
GUILDWAR_QUESTION_LINE_2	Accepti? (%s)
GUILDWAR_RANKING	Rang
GUILDWAR_RECODE_ALL	%d B, %d V, %d P, %d R
GUILDWAR_SELECT_MEMBER_COUNT	Alege numarul de participanti.
GUILDWAR_TYPE_DEFENSE	Scut Lupta
GUILDWAR_TYPE_TIGER	Anihilare
GUILDWAR_TYPE_TIME	Timp Atac
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Lupta in Arena
GUILDWAR_WIN	Victorii (V)
GUILDWAR_WIN_FIVE	5 runde
GUILDWAR_WIN_ONE	1 runda
GUILDWAR_WIN_THREE	3 runde
GUILDWINDOW_BUTTON_BANKGOLDINFO	Log Depozit Breasla
GUILDWINDOW_BUTTON_BASEABANDON	Abandoneaza Teritoriu Breasla
GUILDWINDOW_BUTTON_BASEDEAL	Vinde Teritoriu Breasla
GUILDWINDOW_BUTTON_BOARD	Mesajele Breslei
GUILDWINDOW_BUTTON_CHANGEMASTER	Schimba Lider Breasla
GUILDWINDOW_BUTTON_DECLARE	Declara Razboi
GUILDWINDOW_BUTTON_DONATE	Doneaza
GUILDWINDOW_BUTTON_GOLDIN	Depunere
GUILDWINDOW_BUTTON_GOLDOUT	Retragere
GUILDWINDOW_BUTTON_GRADE	Seteaza Permisiuni
GUILDWINDOW_BUTTON_GUILDLIST	Lista Breasla
GUILDWINDOW_BUTTON_GUILD_BATTLE	Batalia Breslelor
GUILDWINDOW_BUTTON_GUILD_CONTENTS_LIST	Inapoi la Fereastra Batalia Breslelor
GUILDWINDOW_BUTTON_HEALGSP	Reface Putere Zeul Dragon
GUILDWINDOW_BUTTON_INFO	Informatii Breasla
GUILDWINDOW_BUTTON_LANDINFO	Informatii Teritoriu
GUILDWINDOW_BUTTON_MARK	Incarca Simbol Breasla
GUILDWINDOW_BUTTON_MEMBER	Membru
GUILDWINDOW_BUTTON_OFFER	Doneaza EXP
GUILDWINDOW_BUTTON_OUTMEMBER	Inlatura Membru
GUILDWINDOW_BUTTON_SKILL	Abilitati Breasla
GUILDWINDOW_BUTTON_SYMBOL	Incarca Steag Breasla
GUILDWINDOW_BUY_GUILD_LAND	Cumpara Teren
GUILDWINDOW_CHANGE_BLACKSMITH	Schimba Profesia
GUILDWINDOW_CHANGE_OBJECT	Reconstructie
GUILDWINDOW_CHANGE_SMELTER	Schimba Prelucrator de jad
GUILDWINDOW_CREATE_OBJECT	Constructie
GUILDWINDOW_DEAL_GUILD_LAND	Vinde Teren
GUILDWINDOW_GRADE_BANK	Se poate utiliza banca breslei si depozitul
GUILDWINDOW_GRADE_DRIVEOUTAUTHORITY	Poate inlatura membri din breasla
GUILDWINDOW_GRADE_GRADENAME	Nume Rang
GUILDWINDOW_GRADE_GRADENUMBER	Numar Rang
GUILDWINDOW_GRADE_GUILDWAR	Poate alege membri combatanti
GUILDWINDOW_GRADE_INVITEAUTHORITY	Poate accepta jucatori in breasla
GUILDWINDOW_GRADE_NOTICEAUTHORITY	Poate compune mesaje breasla
GUILDWINDOW_GRADE_SKILLAUTHORITY	Poate folosi abilitatile breslei
GUILDWINDOW_INFO_LEVEL5	+5% EXP la donatii breasla
GUILDWINDOW_INFO_LEVEL10	A crescut nr. max. membri
GUILDWINDOW_INFO_LEVEL15	Red.: Puterea Zeului Dragon
GUILDWINDOW_INFO_LEVEL20	Banca: Scutire de Taxe
GUILDWINDOW_LAND_TAX	Arenda
GUILDWINDOW_LIST_ALL	Toate Regatele
GUILDWINDOW_LIST_ALREADY_REGISTER	[Breasla] Deja ai aplicat.
GUILDWINDOW_LIST_APPLICANT_LIST	Lista Aplicatii
GUILDWINDOW_LIST_CHRACTER_JOB	Clasa
GUILDWINDOW_LIST_CHRACTER_LV	Nivel
GUILDWINDOW_LIST_CHRACTER_NAME	Nume Caracter
GUILDWINDOW_LIST_CHRACTER_SUB_JOB	Sub-clasa
GUILDWINDOW_LIST_EMPIRE_A	Shinsoo
GUILDWINDOW_LIST_EMPIRE_B	Chunjo
GUILDWINDOW_LIST_EMPIRE_C	Jinno
GUILDWINDOW_LIST_GUILDMEMBER	Membru
GUILDWINDOW_LIST_GUILD_LIST	Lista Breasla
GUILDWINDOW_LIST_GUILD_LV	Nivel
GUILDWINDOW_LIST_GUILD_NAME	Breasla
GUILDWINDOW_LIST_INPUT_GUILDNAME	[Breasla] Te rugam sa introduci un nume de breasla.
GUILDWINDOW_LIST_LADDER	Puncte Rang
GUILDWINDOW_LIST_NOTPROMOTEGUILD	[Breasla] Breasla nu este publica.
GUILDWINDOW_LIST_PROMOTE_GUILD	Aplicatie
GUILDWINDOW_LIST_PROMOTE_GUILD_LIST	Lista Breasla
GUILDWINDOW_LIST_RANKING	Pozitie
GUILDWINDOW_LIST_RANKING_COUNT	Pozitie
GUILDWINDOW_LIST_REGISTER	Aplicatii
GUILDWINDOW_LIST_REGISTER_GUILD	Aplica la breasla
GUILDWINDOW_LIST_SEARCH	Cauta
GUILDWINDOW_LIST_SELECT_GUILD	[Guild] Te rugam alege o breasla sa aplici.
GUILDWINDOW_PROMOTE_REFRESH	Reclama
GUILDWINDOW_PROMOTE_REGISTER	Reclama
GUILDWINDOW_SP_RECOVER	Puterea Zeului Dragon
GUILDWINDOW_UPGRADE_ALTEROFPOWER	Imbunatatire Altar
GUILDWINDOW_UPGRADE_GUILDBANK	Imbunatatire Banca
GUILD_ATTENDANCE_FAIL_ALREADY	Ai participat deja astazi.
GUILD_ATTENDANCE_FAIL_JOIN_TIME	Nu poti participa acum. Participarea se reseteaza zilnic la ora 5:00 AM.
GUILD_BANKINFO_CLOSE	Inchis
GUILD_BANKINFO_NAME	Membru
GUILD_BANKINFO_TYPE	Obiect/Valoare
GUILD_BANKINFO_USETYPE	Actiune
GUILD_BANK_CLOSE	Inchis
GUILD_BANK_INFO	Log Depozit Breasla
GUILD_BATTLE_APPLY_SUCCESS_MESSAGE	Te-ai inregistrat cu succes la Batalia Breslelor.
GUILD_BATTLE_AREA_INFO_TEXT	Timp ramas: %s\nMonstri ramasi (%d/61)\nAlbastru: (%s) Galben: (%s) Verde: (%s) Rosu: (%s)
GUILD_BATTLE_AREA_INFO_TEXT_FONT	Tahoma:14b
GUILD_BATTLE_AREA_UNDER_ATTCK_MESSAGE	Monstrii sunt atacati in %s.
GUILD_BATTLE_CANNOT_APPLY_TIME_MESSAGE	Nu poti participa acum la Batalia Breslelor, deoarece toate locurile sunt ocupate. Incearca din nou data viitoare!
GUILD_BATTLE_CANNOT_ENTER_JOIN_TIME	Nu poti participa inca. Timp ramas: %d minute.
GUILD_BATTLE_CANNOT_ENTER_MAP_MESSAGE	Poti intra doar din primul sat sau din Aria Dong Gwang.
GUILD_BATTLE_CANNOT_ENTER_NOT_MATCHING_MESSAGE	Nu poti gasi un combatant potrivit pentru breasla ta. Te rugam, incearca din nou data viitoare.
GUILD_BATTLE_CANNOT_GET_REWARD_NOT_ENOUGH_INEVENTORY	Nu este destul loc in inventar.
GUILD_BATTLE_CANNOT_GUILD_ACTION_MESSAGE	
GUILD_BATTLE_CANNOT_PARTICIPATION_MESSAGE	Nu indeplinesti toate cerintele pentru a participa la Batalia Breslelor.
GUILD_BATTLE_CANNOT_USE_MOVE_TICKET_NOT_OCCUPY_MESSAGE	Nu poti intra in aceasta zona deoarece a fost deja cucerita de o alta breasla.
GUILD_BATTLE_CANNOT_USE_PORTAL_NOT_OCCUPY	Se poate folosi doar dupa ce zona a fost cucerita de breasla ta.
GUILD_BATTLE_CANNOT_USE_TICKET_NOT_MASTER	Doar liderul breslei poate folosi acest obiect.
GUILD_BATTLE_CANNOT_USE_TICKET_NOT_OPEN	Nu poti folosi Tichet Batalie Breasla.
GUILD_BATTLE_CAN_NOT_USE_TICKET_MESSAGE	A fost deja folosit si nu poate fi folosit din nou.
GUILD_BATTLE_CMD_FAIL_IMMEDIATELY_START	Trebuie sa astepti pana cand participa cel putin alte 2 bresle.
GUILD_BATTLE_DEAD_TO_PLAYER	Ai fost ucis de un membru al breslei %s.
GUILD_BATTLE_DROP_ITEM_BY_REWARD_BOX_MESSAGE	De la %s ai primit %s.
GUILD_BATTLE_ENCOURAGE_MESSAGE	Batalia Breslelor incepe in %d minute. Esti inregistrat pentru a participa. Pregateste-te si arata tot ce poti!
GUILD_BATTLE_END_MESSAGE	Batalia Breslelor s-a terminat.
GUILD_BATTLE_END_REMAIN_TIME_MESSAGE	Batalia Breslelor se termina in %d minute.
GUILD_BATTLE_ENTER_AREA_MESSAGE	Ai intrat in %s. Invinge toti monstrii!
GUILD_BATTLE_ENTER_BUTTON_TOOLTIP	Intra
GUILD_BATTLE_ENTER_MESSAGE	Vei fi inregistrat in scurt timp la Batalia Breslelor.
GUILD_BATTLE_ENTER_OCCUPY_AREA_MESSAGE	Ai intrat in %s.
GUILD_BATTLE_ENTER_OUTPOST_BLUE	Esti membrul echipei albastre. Foloseste portalul pentru a intra in zona pentru Batalia Breslelor.
GUILD_BATTLE_ENTER_OUTPOST_GREEN	Esti membrul echipei verzi. Foloseste portalul pentru a intra in zona pentru Batalia Breslelor.
GUILD_BATTLE_ENTER_OUTPOST_RED	Esti membrul echipei rosii. Foloseste portalul pentru a intra in zona pentru Batalia Breslelor.
GUILD_BATTLE_ENTER_OUTPOST_YELLOW	Esti membrul echipei galbene. Foloseste portalul pentru a intra in zona pentru Batalia Breslelor.
GUILD_BATTLE_GET_GUILD_REWARD_MESSAGE	Ai primit o recompensa de breasla. O vei gasi in inventarul tau.
GUILD_BATTLE_GET_PERSONAL_REWARD_BUFF_MESSAGE	Ai primit o recompensa de suport! Clic pe iconita de suport pentru a afla mai multe.
GUILD_BATTLE_GUILD_REWARD_BUTTON_TOOLTIP	Colecteaza Recompensa Breasla
GUILD_BATTLE_LIST_REMAIN_TIME	Timp ramas: %s
GUILD_BATTLE_MONSTER_KILL_GUILD_MESSAGE	%s a ucis %d monstri.
GUILD_BATTLE_NEED_REWARD_OPEN_KEY_MESSAGE	Nu ai o Cheie Victorie pentru a deschide cufarul. Ucide monstri pentru a obtine o cheie.
GUILD_BATTLE_NOT_ENOUGH_INEVENTORY_MESSAGE	Creeaza spatiu in inventar si incearca din nou.
GUILD_BATTLE_NOT_ENOUGH_MOVE_TICKET_MESSAGE	Nu ai un Tichet Batalie Breasla.
GUILD_BATTLE_NOT_ENOUGH_TIME_OF_CREATE_TO_APPLY	Nu poti participa deocamdata, deoarece breasla ta a fost fondata in ultimele 24 de ore.
GUILD_BATTLE_OCCUPY_AREA_MESSAGE	Aceasta zona a fost cucerita. In scurt timp va aparea un portal si monstrii vor iesi pentru a apara zona.
GUILD_BATTLE_OCCUPY_AREA_MESSAGE_IN_OUTPOST	%s a fost cucerita. In scurt timp va aparea un portal si monstrii vor iesi pentru a apara zona.
GUILD_BATTLE_OCCUPY_AREA_OTHERS_GUILD_MESSAGE	Aceasta zona a fost deja cucerita de o alta breasla. Vei fi teleportat la Avanpost Breasla in scurt timp.
GUILD_BATTLE_ONGOING	Batalie in Desfasurare
GUILD_BATTLE_OPEN_REWARD_BOX	Doresti sa deschizi %s?
GUILD_BATTLE_OTHER_GUILD_ONGOING	Celelalte bresle se lupta deja.
GUILD_BATTLE_OUTPOST_REMAIN_TIME	Timp ramas: %s
